"transaction_id","transaction_date","product_name","price","store_name","sales_representative_name","client_name"
"k112","2025-02-22","americano","4.00","King St","Lex Monroe","Thalia Goodwin"
"q233","2025-02-21","tea","3.95","Queen St","Britany Hebert","Ananya Werner"
"q232","2025-02-21","cappuccino","4.00","Queen St","Amal Jarvis","Thalia Goodwin"
"k111","2025-02-21","americano","4.00","King St","Zavier Calvert","Joshua Farley"
"k110","2025-02-20","cappuccino","4.50","King St","Lex Monroe","Miranda Nash"
"k109","2025-02-20","americano","4.00","King St","Zavier Calvert","Thalia Goodwin"
"k108","2025-02-19","cappuccino","4.50","King St","Zavier Calvert","Joshua Farley"
"k107","2025-02-19","cappuccino","4.50","King St","Zavier Calvert","Ananya Werner"
"q231","2025-02-18","tea","3.95","Queen St","Britany Hebert","Ananya Werner"
"k106","2025-02-18","americano","4.00","King St","Zavier Calvert","Miranda Nash"
"q230","2025-02-18","cappuccino","4.50","Queen St","Amal Jarvis","Louis Jackson"
"k105","2025-02-18","cappuccino","4.50","King St","Lex Monroe","Gabriel Palmer"
